,Lasso,Ridge,ElasticNet,KNN,DT,RF,AdaBoost,GBoost,MLP,SVRrbf,SVRpoly,SVRlinear
rmse,0.18385109253606285,0.12020481979728721,0.18385109253606285,0.1348216509887577,0.12958578720561217,0.15318801161791223,0.10806627454261393,0.11897121391564972,0.2970777726257796,0.11323040952260328,0.1407230146162758,0.10288729781738892
mean_ae,0.15219507615537836,0.09451351902493277,0.15219507615537836,0.10617160737812754,0.0998180703413147,0.1248849621364323,0.08608274284952938,0.09631103637108754,0.22244657345913588,0.0909983314670781,0.11145176824107787,0.08129573468379853
median_ae,0.1348451910408441,0.07945593579757501,0.1348451910408441,0.08797727272725998,0.0804288506280483,0.11343349845080337,0.07450606475846108,0.0855759393517952,0.16221268144953663,0.07655561682924535,0.09147917314646217,0.06818517537914186
