Error Parameter,Lasso,ElasticNet,Ridge,kNN,DT,RF,AdaBoost,Bagging Reg,ExtraTree Reg,Gradient Boosting,LR
RMSE,0.15972393584854006,0.1602694295905002,0.15982236358982257,0.16378287790938345,0.1627145104821358,0.17151789911569382,0.16301199208183342,0.1716983404234253,0.1670757882665445,0.15982591647841915,0.15998577216880988
MDAE,0.12158198126171142,0.12292163921279897,0.12255444702105121,0.12373376590909098,0.12317500920027646,0.12733638181818188,0.1306929940426393,0.12751710795454546,0.12644254545454545,0.12119098394352022,0.12280173717544429
MAE,0.13173846497702746,0.13191200426021152,0.13189705477426608,0.13413251286655084,0.13374066226108425,0.14090687766621374,0.13638655411569423,0.14110544509655767,0.13797374319685252,0.13135670840556282,0.13199980723239274
