,Lasso,Ridge,ElasticNet,KNN,DT,RF,AdaBoost,GBoost,MLP,SVRrbf,SVRpoly,SVRlinear
rmse,0.16000119695090273,0.12544052467941258,0.16000119695090273,0.13204212810454313,0.1397585077610405,0.1387086830421492,0.12156554287206374,0.12144694297964417,0.3372937833037439,0.11640587040136956,0.13138876940519634,0.11282209947311139
mean_ae,0.13283639800652944,0.10032717248289587,0.13283639800652944,0.1033883399209484,0.1091408103319494,0.11358648100641451,0.09666692534537027,0.09847781368275943,0.25568183161662544,0.09470701526351219,0.10523321019904994,0.08969668984626164
median_ae,0.12396812326160114,0.08650286136185274,0.12396812326160114,0.08374999999999999,0.08656189593670624,0.10148572885404059,0.08037840520370426,0.0853101957217117,0.2080576380763323,0.0816769439516056,0.08729775739165069,0.07596301403953577
