,Lasso,Ridge,ElasticNet,kNN,SVRrbf,SVRpoly,SVRlinear,DT,RF,MLP,AdaBoost,GradientBoosting
RMSE,0.16049876308947214,0.15493595939270116,0.16049876308947214,0.15959063470365034,0.1553408315000588,0.3476167554588295,0.15434842624002493,0.16606373302714378,0.14626156024274992,0.20615116279759532,0.148399133079205,0.14930775924842937
MSE,0.02591776934126201,0.02410106525598783,0.02591776934126201,0.02561693907640116,0.02427597175146807,0.18955573202370174,0.02395321654625336,0.027911044363757003,0.02151801371784473,0.0440850301217746,0.022204436818658465,0.022438206483904294
MAE,0.1336884443973801,0.1276804993758785,0.1336884443973801,0.13074615623447652,0.1262465973739918,0.17675653891817103,0.12655785489752763,0.13106782631532438,0.1192707965266527,0.15691413748476885,0.1201822103106324,0.12083203977925867
Median AE,0.12279371138450194,0.11402893289404033,0.12279371138450194,0.10951136363637001,0.1065835304208937,0.12388680461448875,0.11460044891087381,0.10761722637696361,0.10503013518692958,0.12853039425112273,0.10380816671052502,0.10487388301097092
