,Lasso,Ridge,ElasticNet,kNN,SVRrbf,SVRpoly,SVRlinear,DT,RF,MLP,AdaBoost,GradientBoosting
RMSE,0.1835270400299444,0.1820997533819573,0.1835270400299444,0.19422368714109814,0.18846901971539162,0.31659019309465697,0.18307412056368372,0.20276469139407466,0.18002981222538178,0.23119989876470776,0.18201551020888743,0.1790269062493321
MSE,0.033912907568369954,0.03337366107366259,0.033912907568369954,0.03786340551754599,0.035675456043561614,0.12068950226547374,0.03381070120700885,0.04164905433526802,0.03264410008902751,0.0539608136821758,0.03333799755832219,0.03230824783631943
MAE,0.15258288084039956,0.14855148702063348,0.15258288084039956,0.1587149776453098,0.15384048339509795,0.19408548787549368,0.14671344986260831,0.16226811261443613,0.14762248182842744,0.179685847507211,0.149787906479194,0.14590649889426205
Median AE,0.13923209562956265,0.13509104556688295,0.13923209562956265,0.13554545454545003,0.13470428237072718,0.1416702997401793,0.12325537728222277,0.1359251235965821,0.12747855622272905,0.14740272519972525,0.13345522579508556,0.12968557550239307
