,Lasso,Ridge,ElasticNet,kNN,SVRrbf,SVRpoly,SVRlinear,DT,RF,MLP,AdaBoost,GradientBoosting
RMSE,0.1835270400299444,1.0790698145022508,0.1835270400299444,0.2634023096786806,0.18299937390694873,0.2131189212986948,0.7207632332820146,0.2050215810451866,0.1795620590692986,0.8069254694182995,0.17959691850656417,0.1763580693863158
MSE,0.033912907568369954,1.1733082196941667,0.033912907568369954,0.07001977087284879,0.03363919762869193,0.050973204837221134,0.5453175115924519,0.04227978715529469,0.03239678884057729,0.6738871533069114,0.032485859675627074,0.03126478783654893
MAE,0.15258288084039956,0.8099376561006515,0.15258288084039956,0.2079641207153485,0.15236204954966942,0.15749068212209436,0.5264060005969895,0.16278845261244948,0.14538966422138186,0.6042628875476646,0.14499869949353006,0.14361649002483495
Median AE,0.13923209562956265,0.6201228264341304,0.13923209562956265,0.16251136363636004,0.13457424916374525,0.13356400890525766,0.3912218224558627,0.13855235723081288,0.12566615925810848,0.4477035667732728,0.12145156545571878,0.12281363802498439
