,Lasso,Ridge,ElasticNet,kNN,SVRrbf,SVRpoly,SVRlinear,DT,RF,MLP,AdaBoost,GradientBoosting
RMSE,0.16049876308947214,0.8403577488788418,0.16049876308947214,0.2539506668225104,0.15664895260557907,0.2104688950028008,0.36422256815270193,0.16442811134200314,0.14841693013695528,0.7442615377741864,0.14724717744260732,0.1451011360307406
MSE,0.02591776934126201,0.712585863526652,0.02591776934126201,0.06503739031381157,0.024647739664778345,0.05301205749798652,0.13599441474855106,0.02723655154709642,0.022139271628634084,0.5677861913569356,0.02185910850849502,0.021223167859860274
MAE,0.1336884443973801,0.619610526263518,0.1336884443973801,0.20470770615995804,0.13175669980796595,0.14270130209543988,0.2564414054253042,0.13045881651022456,0.12137191082474375,0.5625118080121997,0.11883137822487863,0.11895406015425145
Median AE,0.12279371138450194,0.46730985162003974,0.12279371138450194,0.176,0.12444092173929977,0.11818822340227586,0.18429414911389413,0.108060969077545,0.10808078737810309,0.44242995362621684,0.10556753428860681,0.10665176528841329
