,Lasso,Ridge,ElasticNet,KNN,DT,RF,AdaBoost,GBoost,MLP,LinearSVR
rmse,0.1762791994802861,0.12428305636328203,0.1762791994802861,0.14035513220488646,0.13952638466774953,0.13934321498854435,0.12887846676989695,0.13581547037754665,0.13697880576246574,0.15360508964358643
mean_ae,0.14687760497240882,0.09634928921679325,0.14687760497240882,0.10939352410350485,0.10869664746075562,0.11347839054473004,0.10370732635371964,0.11087718143581152,0.10756470658066963,0.1148380063465789
median_ae,0.13740879838832323,0.07945094842264158,0.13740879838832323,0.08876362499999998,0.08855994596043856,0.10136491281243983,0.08921981032108754,0.0988430326403161,0.0897198771745353,0.09089809064987228
