Error Parameter,Lasso,ElasticNet,Ridge,kNN,SVRrbf,SVRpoly,DT,RF,AdaBoost,Bagging Reg,ExtraTree Reg,Gradient Boosting,LR
RMSE,0.1619239364136977,0.1615165622240359,0.16652981295923544,0.16307526985562493,0.16298112616637372,0.1629977730324624,0.18550239271686894,0.16251205163770646,0.16382886915184505,0.16219381186196963,0.16323892742931823,0.16119809333375032,0.1621425612307318
MDAE,0.12323528152449603,0.12286316487068663,0.12425307157063437,0.12440184815184721,0.1230506271978274,0.12330454802821249,0.12204076644651822,0.12297443181818254,0.12442201709818486,0.12083181818181962,0.1183577823691487,0.12430188144891308,0.12443781287996514
MAE,0.13415390131966878,0.13393788174008456,0.136694291846631,0.13519543343932122,0.13420876029264422,0.13366907546513795,0.14786997308286134,0.13350842077188935,0.13597644013041538,0.13335062562214908,0.13426198838747383,0.1329658809167665,0.13444372370570135
