Error Parameter,Lasso,ElasticNet,Ridge,kNN,SVRrbf,SVRpoly,DT,RF,AdaBoost,Bagging Reg,ExtraTree Reg,Gradient Boosting,LR
RMSE,0.18466385295898863,0.18376067522319217,0.18773684177676608,0.18476010175837349,0.18628146447540328,0.18489128187459675,0.20519698809076714,0.18493036342047559,0.18315419480180442,0.18508897496946936,0.18496603487935678,0.18383349359954834,0.18583264651411863
MDAE,0.14160420621404565,0.1394801920993872,0.13935391154533192,0.1381593406593417,0.14000109995036789,0.1399029970585925,0.14444995936975463,0.13114659090909,0.13279480751228784,0.13401931818190635,0.1330313360882598,0.1393780244880767,0.14213833489770905
MAE,0.15343886265974951,0.152603608825493,0.15398289054477882,0.15291830368510967,0.15332249660248462,0.1524253623533486,0.16571937079663476,0.1515367216738625,0.15160682977863826,0.15180772975168036,0.15237620703177351,0.1522188374866859,0.15455325551582333
