Error Parameter,Lasso,ElasticNet,Ridge,kNN,DT,RF,AdaBoost,Bagging Reg,ExtraTree Reg,Gradient Boosting,LR
RMSE,0.17197484473882144,0.17253798559096536,0.17223286878232463,0.17727510504683755,0.1749471387793174,0.184950668835994,0.1762148536391418,0.1848844559193812,0.1801770924259256,0.1726462447512383,0.17228727483967898
MDAE,0.13983784675315625,0.14096834767889524,0.1398812030309348,0.14287445606060603,0.13666227314576695,0.1386417348484848,0.1469389183955677,0.13940389015151514,0.1380029848484849,0.1395534881236959,0.14000802092124387
MAE,0.14617747297696052,0.14706209346264365,0.14632964018981473,0.15104967665041985,0.14721709581140208,0.1537539816420951,0.15125353305528932,0.1536034938182961,0.15075772510696728,0.14690855469648803,0.14636627612962486
